Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
Темный рыцарь: Возрождение легенды,The Dark Knight Rises,https://www.kinopoisk.ru/film/437410/,Кристофер Нолан,США,2012,фантастика,"Кристиан Бэйл, Том Харди",165.0,8.2,507 686
Игры разума,A Beautiful Mind,https://www.kinopoisk.ru/film/530/,Рон Ховард,США,2001,биография,"Рассел Кроу, Эд Харрис",135.0,8.5,504 138
Шрэк 2,Shrek 2,https://www.kinopoisk.ru/film/5273/,Эндрю Адамсон,США,2004,мультфильм,"Майк Майерс, Эдди Мерфи",93.0,7.9,503 696
Предложение,The Proposal,https://www.kinopoisk.ru/film/321842/,Энн Флетчер,США,2009,мелодрама,"Сандра Буллок, Райан Рейнольдс",108.0,7.7,503 365
Валериан и город тысячи планет,Valerian and the City of a Thousand Planets,https://www.kinopoisk.ru/film/689960/,Люк Бессон,Франция,2017,фантастика,"Дэйн ДеХаан, Кара Делевинь",136.0,6.9,503 098
Гарри Поттер и Дары Смерти: Часть I,Harry Potter and the Deathly Hallows - Part 1,https://www.kinopoisk.ru/film/276762/,Дэвид Йейтс,Великобритания,2010,фэнтези,"Дэниэл Рэдклифф, Руперт Гринт",146.0,7.9,503 058
Далласский клуб покупателей,Dallas Buyers Club,https://www.kinopoisk.ru/film/260162/,Жан-Марк Валле,США,2013,драма,"Мэттью Макконахи, Дженнифер Гарнер",118.0,7.9,499 391
В бой идут одни «старики»,,https://www.kinopoisk.ru/film/25108/,Леонид Быков,СССР,1973,военный,"Леонид Быков, Сергей Подгорный",87.0,8.7,498 128
Богемская рапсодия,Bohemian Rhapsody,https://www.kinopoisk.ru/film/568289/,Брайан Сингер,Великобритания,2018,биография,"Рами Малек, Люси Бойнтон",134.0,8.0,495 944
Фантастические твари и где они обитают,Fantastic Beasts and Where to Find Them,https://www.kinopoisk.ru/film/797840/,Дэвид Йейтс,Великобритания,2016,фэнтези,"Эдди Редмэйн, Кэтрин Уотерстон",132.0,7.6,494 312
Послезавтра,The Day After Tomorrow,https://www.kinopoisk.ru/film/2053/,Роланд Эммерих,США,2004,фантастика,"Деннис Куэйд, Джейк Джилленхол",124.0,7.7,489 380
Одержимость,Whiplash,https://www.kinopoisk.ru/film/725190/,Дэмьен Шазелл,США,2013,драма,"Майлз Теллер, Дж.К. Симмонс",106.0,8.4,488 552
Оно,It,https://www.kinopoisk.ru/film/453397/,Андрес Мускетти,США,2017,ужасы,"Джейден Мартелл, Джереми Рэй Тейлор",135.0,7.3,486 593
Голодные игры,The Hunger Games,https://www.kinopoisk.ru/film/468581/,Гэри Росс,США,2012,фантастика,"Дженнифер Лоуренс, Джош Хатчерсон",142.0,7.3,486 496
Трое из Простоквашино,,https://www.kinopoisk.ru/film/42326/,Владимир Попов,СССР,1978,мультфильм,"Мария Виноградова, Олег Табаков",19.0,8.8,486 462
Исходный код,Source Code,https://www.kinopoisk.ru/film/409295/,Дункан Джонс,США,2011,фантастика,"Джейк Джилленхол, Мишель Монахэн",93.0,7.8,486 308
Железный человек 2,Iron Man 2,https://www.kinopoisk.ru/film/411924/,Джон Фавро,США,2010,фантастика,"Роберт Дауни мл., Микки Рурк",124.0,7.5,478 227
По соображениям совести,Hacksaw Ridge,https://www.kinopoisk.ru/film/649917/,Мэл Гибсон,США,2016,биография,"Эндрю Гарфилд, Сэм Уортингтон",139.0,8.2,475 983
Шан-Чи и легенда десяти колец,Shang-Chi and the Legend of the Ten Rings,https://www.kinopoisk.ru/film/1219149/,Дестин Дэниел Креттон,США,2021,фэнтези,"Симу Лю, Тони Люн Чу-Вай",132.0,7.3,475 360
Отступники,The Departed,https://www.kinopoisk.ru/film/81314/,Мартин Скорсезе,США,2006,криминал,"Леонардо ДиКаприо, Мэтт Дэймон",151.0,8.5,473 817
Черный ящик,Boîte noire,https://www.kinopoisk.ru/film/1368311/,Ян Гозлан,Франция,2020,детектив,"Пьер Нинэ, Лу де Лааж",129.0,7.6,473 571
Терминал,The Terminal,https://www.kinopoisk.ru/film/6877/,Стивен Спилберг,США,2004,драма,"Том Хэнкс, Кэтрин Зета-Джонс",124.0,8.1,471 027
"Ирония судьбы, или С легким паром!",,https://www.kinopoisk.ru/film/77331/,Эльдар Рязанов,СССР,1975,мелодрама,"Андрей Мягков, Барбара Брыльска",184.0,8.2,470 860
Дурак,,https://www.kinopoisk.ru/film/808639/,Юрий Быков,Россия,2014,драма,"Артём Быстров, Наталья Суркова",116.0,8.1,470 325
Такси,Taxi,https://www.kinopoisk.ru/film/14349/,Жерар Пирес,Франция,1998,боевик,"Сами Насери, Фредерик Дифенталь",89.0,8.0,469 771
Адвокат дьявола,The Devil's Advocate,https://www.kinopoisk.ru/film/3797/,Тейлор Хэкфорд,США,1997,триллер,"Киану Ривз, Аль Пачино",144.0,8.2,469 558
Железный человек 3,Iron Man Three,https://www.kinopoisk.ru/film/462762/,Шейн Блэк,США,2013,фантастика,"Роберт Дауни мл., Гвинет Пэлтроу",130.0,7.5,469 403
Рапунцель: Запутанная история,Tangled,https://www.kinopoisk.ru/film/84049/,Нэйтан Грено,США,2010,мультфильм,"Мэнди Мур, Закари Ливай",100.0,8.0,469 137
Красотка,Pretty Woman,https://www.kinopoisk.ru/film/8125/,Гэрри Маршалл,США,1990,мелодрама,"Ричард Гир, Джулия Робертс",115.0,8.0,468 893
Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,https://www.kinopoisk.ru/film/5492/,Мишель Гондри,США,2004,мелодрама,"Джим Керри, Кейт Уинслет",108.0,8.0,466 449
Моана,Moana,https://www.kinopoisk.ru/film/837530/,Рон Клементс,США,2016,мультфильм,"Аулии Кравальо, Дуэйн Джонсон",107.0,7.8,466 112
Ходячий замок,Howl no Ugoku Shiro,https://www.kinopoisk.ru/film/49684/,Хаяо Миядзаки,Япония,2004,аниме,"Тиэко Байсё, Такуя Кимура",119.0,8.3,465 793
Хоббит: Пустошь Смауга,The Hobbit: The Desolation of Smaug,https://www.kinopoisk.ru/film/408876/,Питер Джексон,Новая Зеландия,2013,фэнтези,"Мартин Фриман, Ричард Армитедж",161.0,8.0,465 767
Дивергент,Divergent,https://www.kinopoisk.ru/film/582101/,Нил Бёргер,США,2014,фантастика,"Шейлин Вудли, Тео Джеймс",134.0,6.7,462 766
Три богатыря и Пуп Земли,,https://www.kinopoisk.ru/film/4489198/,Константин Феоктистов,Россия,2023,мультфильм,"Олег Куликович, Валерий Соловьев",85.0,6.9,461 158
Укрощение строптивого,Il bisbetico domato,https://www.kinopoisk.ru/film/63912/,Франко Кастеллано,Италия,1980,мелодрама,"Адриано Челентано, Орнелла Мути",107.0,8.4,460 435
Великий Гэтсби,The Great Gatsby,https://www.kinopoisk.ru/film/463724/,Баз Лурман,Австралия,2013,драма,"Леонардо ДиКаприо, Тоби Магуайр",143.0,7.9,456 721
Еще по одной,Druk,https://www.kinopoisk.ru/film/1263705/,Томас Винтерберг,Дания,2020,драма,"Мадс Миккельсен, Томас Бо Ларсен",110.0,7.6,454 539
Мажор. Фильм,,https://www.kinopoisk.ru/film/1445143/,Максим Полинский,Россия,2021,боевик,"Павел Прилучный, Евгений Стычкин",98.0,6.8,454 175
Игра,The Game,https://www.kinopoisk.ru/film/12198/,Дэвид Финчер,США,1997,триллер,"Майкл Дуглас, Шон Пенн",129.0,8.3,452 345
Веном 2,Venom: Let There Be Carnage,https://www.kinopoisk.ru/film/1227967/,Энди Серкис,США,2021,фантастика,"Том Харди, Вуди Харрельсон",96.0,6.2,452 311
Тор,Thor,https://www.kinopoisk.ru/film/258941/,Кеннет Брана,США,2011,фантастика,"Крис Хемсворт, Натали Портман",115.0,7.1,451 956
"Я, робот","I, Robot",https://www.kinopoisk.ru/film/4886/,Алекс Пройас,США,2004,фантастика,"Уилл Смит, Бриджет Мойнэхэн",115.0,7.8,451 294
Догмен,Dogman,https://www.kinopoisk.ru/film/4922959/,Люк Бессон,Франция,2023,драма,"Калеб Лэндри Джонс, Джоджо Т. Гиббс",113.0,7.8,446 655
Мстители: Эра Альтрона,Avengers: Age of Ultron,https://www.kinopoisk.ru/film/679830/,Джосс Уидон,США,2015,фантастика,"Роберт Дауни мл., Крис Хемсворт",141.0,7.3,445 259
Семь жизней,Seven Pounds,https://www.kinopoisk.ru/film/395787/,Габриэле Муччино,США,2008,драма,"Уилл Смит, Розарио Доусон",118.0,8.2,444 202
Пассажиры,Passengers,https://www.kinopoisk.ru/film/470689/,Мортен Тильдум,США,2016,фантастика,"Крис Пратт, Дженнифер Лоуренс",116.0,7.2,443 350
Назад в будущее 2,Back to the Future Part II,https://www.kinopoisk.ru/film/5502/,Роберт Земекис,США,1989,фантастика,"Майкл Дж. Фокс, Кристофер Ллойд",108.0,8.3,443 289
Движение вверх,,https://www.kinopoisk.ru/film/840817/,Антон Мегердичев,Россия,2017,спорт,"Владимир Машков, Андрей Смоляков",133.0,7.5,442 890
Дом странных детей Мисс Перегрин,Miss Peregrine's Home for Peculiar Children,https://www.kinopoisk.ru/film/648440/,Тим Бёртон,США,2016,фэнтези,"Ева Грин, Эйса Баттерфилд",127.0,6.9,442 876
"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri",https://www.kinopoisk.ru/film/944098/,Мартин Макдона,Великобритания,2017,драма,"Фрэнсис Макдорманд, Сэм Рокуэлл",115.0,8.1,441 731
Вверх,Up,https://www.kinopoisk.ru/film/325381/,Пит Доктер,США,2009,мультфильм,"Эдвард Эснер, Кристофер Пламмер",96.0,8.0,441 505
Ледниковый период,Ice Age,https://www.kinopoisk.ru/film/707/,Крис Уэдж,США,2002,мультфильм,"Рэй Романо, Джон Легуизамо",81.0,8.0,441 275
Бегущий по лезвию 2049,Blade Runner 2049,https://www.kinopoisk.ru/film/589290/,Дени Вильнёв,США,2017,фантастика,"Райан Гослинг, Харрисон Форд",164.0,7.8,439 464
