Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Продолжительность,Рейтинг,Количество Оценок,Актер 1,Актер 2,Оскар у режиссера,Оскар у актеров
Секретная служба Санта-Клауса,Arthur Christmas,https://www.kinopoisk.ru/film/464090/,Сара Смит,Великобритания,2011,мультфильм,97.0,7.3,36672,Джеймс Макэвой,Хью Лори,0,0
Не слышу зла,Mideunaiteu,https://www.kinopoisk.ru/film/1309168/,Квон О-сын,Корея Южная,2021,триллер,103.0,7.0,36639,Чин Ги-джу,Ви Ха-джун,0,0
Как живой,Life Like,https://www.kinopoisk.ru/film/1040749/,Джош Янович,США,2019,фантастика,94.0,6.2,36632,Дрю Ван Экер,Эддисон Тимлин,0,0
Рокки 5,Rocky V,https://www.kinopoisk.ru/film/7267/,Джон Г. Эвилдсен,США,1990,драма,104.0,6.8,36629,Сильвестр Сталлоне,Талия Шайр,1,1
Настоящая любовь,True Romance,https://www.kinopoisk.ru/film/4149/,Тони Скотт,США,1993,криминал,119.0,7.7,36604,Кристиан Слэйтер,Патриша Аркетт,0,0
Медведи Камчатки. Начало жизни,,https://www.kinopoisk.ru/film/1115424/,Владислав Гришин,Россия,2018,документальный,55.0,8.9,36601,Анатолий Белый,,0,0
Перспектива,Prospect,https://www.kinopoisk.ru/film/1113039/,Кристофер Колдуэлл,США,2018,фантастика,100.0,6.3,36594,Софи Тэтчер,Педро Паскаль,0,0
Дрянная девчонка,My Sassy Girl,https://www.kinopoisk.ru/film/160914/,Ян Самюэль,США,2007,драма,92.0,7.4,36590,Джесси Брэдфорд,Элиша Катберт,0,0
Черная орхидея,The Black Dahlia,https://www.kinopoisk.ru/film/64012/,Брайан Де Пальма,США,2005,триллер,121.0,6.5,36568,Джош Хартнетт,Скарлетт Йоханссон,0,1
Будь моими глазами,Mira por mí,https://www.kinopoisk.ru/film/1384406/,Рэндолл Окита,Канада,2021,триллер,92.0,6.3,36552,Скайлер Девенпорт,Джессика Паркер Кеннеди,0,0
Хаос,Chaos,https://www.kinopoisk.ru/film/81101/,Тони Джильо,Канада,2005,боевик,106.0,7.2,36545,Джейсон Стэйтем,Райан Филипп,0,0
История семьи Блум,Penguin Bloom,https://www.kinopoisk.ru/film/1272738/,Глендин Айвин,Австралия,2020,драма,95.0,7.7,36526,Наоми Уоттс,Джеки Уивер,0,2
Излом времени,A Wrinkle in Time,https://www.kinopoisk.ru/film/506223/,Ава ДюВерней,США,2018,фантастика,109.0,4.6,36517,Сторм Рид,Опра Уинфри,0,0
Расёмон,Rashomon,https://www.kinopoisk.ru/film/388/,Акира Куросава,Япония,1950,драма,88.0,7.9,36498,Тосиро Мифунэ,Матико Кё,1,0
Оливье,,https://www.kinopoisk.ru/film/5213774/,Андрей Никифоров,Россия,2022,комедия,90.0,6.8,36488,Сергей Шакуров,Станислав Дужников,0,0
Воин,,https://www.kinopoisk.ru/film/843175/,Алексей Андрианов,Россия,2015,драма,90.0,2.9,36482,Фёдор Бондарчук,Сергей Бондарчук,0,0
Проповедник с пулеметом,Machine Gun Preacher,https://www.kinopoisk.ru/film/497015/,Марк Форстер,США,2011,боевик,129.0,6.9,36453,Джерард Батлер,Мишель Монахэн,0,0
Бои без правил,A Prayer Before Dawn,https://www.kinopoisk.ru/film/987695/,Жан-Стефан Совер,Великобритания,2017,боевик,116.0,6.5,36446,Джо Коул,Витхая Пансрингарм,0,0
"Гуд бай, Ленин!",Good Bye Lenin!,https://www.kinopoisk.ru/film/1549/,Вольфганг Беккер,Германия,2003,драма,121.0,7.8,36438,Даниэль Брюль,Катрин Засс,0,0
Три кота. Новогодняя мелодия,,https://www.kinopoisk.ru/film/5221755/,Дмитрий Высоцкий,Россия,2019,мультфильм,20.0,8.7,36431,Максим Сергеев,Илья Хрусталёв,0,0
Али,Ali,https://www.kinopoisk.ru/film/585/,Майкл Манн,США,2001,драма,157.0,7.5,36428,Уилл Смит,Джейми Фокс,1,4
Возвращение в Голубую лагуну,Return to the Blue Lagoon,https://www.kinopoisk.ru/film/24188/,Уильям А. Грэм,США,1991,драма,102.0,6.8,36406,Милла Йовович,Брайан Краузе,0,0
Умереть за доллар,Dead for a Dollar,https://www.kinopoisk.ru/film/4541530/,Уолтер Хилл,Канада,2022,триллер,107.0,6.4,36400,Кристоф Вальц,Уиллем Дефо,0,1
Дикость,Wild Things,https://www.kinopoisk.ru/film/18545/,Джон МакНотон,США,1998,триллер,108.0,7.2,36389,Кевин Бейкон,Мэтт Диллон,0,0
Возвращение кота,Neko no ongaeshi,https://www.kinopoisk.ru/film/7854/,Хироюки Морита,Япония,2002,аниме,75.0,7.9,36388,Тидзуру Икэваки,Ёсихико Хакамада,0,0
Безумный спецназ,The Men Who Stare at Goats,https://www.kinopoisk.ru/film/427170/,Грант Хеслов,США,2009,комедия,90.0,5.9,36381,Джордж Клуни,Юэн Макгрегор,0,3
Гостиница Окко,Wakaokami wa Shougakusei!,https://www.kinopoisk.ru/film/1176141/,Китаро Косака,Япония,2018,аниме,94.0,8.2,36371,Сэиран Кобаяси,Рина Эндо,0,0
Конан-варвар,Conan the Barbarian,https://www.kinopoisk.ru/film/5447/,Джон Милиус,США,1982,фэнтези,129.0,6.9,36369,Арнольд Шварценеггер,Джеймс Эрл Джонс,0,1
Восстание зловещих мертвецов,Evil Dead Rise,https://www.kinopoisk.ru/film/1446132/,Ли Кронин,Ирландия,2023,ужасы,96.0,6.4,36359,Лили Салливан,Алисса Сазерленд,0,0
Плейбой под прикрытием,Nicky Larson et le parfum de Cupidon,https://www.kinopoisk.ru/film/1164908/,Филипп Лашо,Франция,2018,боевик,91.0,6.9,36332,Филипп Лашо,Элоди Фонтан,0,0
Невеста с того света,Over Her Dead Body,https://www.kinopoisk.ru/film/261365/,Джефф Лоуелл,США,2007,фэнтези,94.0,6.2,36297,Ева Лонгория,Пол Радд,0,0
Бомж с дробовиком,Hobo with a Shotgun,https://www.kinopoisk.ru/film/518214/,Джейсон Айзенер,Канада,2011,боевик,86.0,6.0,36295,Рутгер Хауэр,Паша Эбрахими,0,0
Любовь на острове,Love Wrecked,https://www.kinopoisk.ru/film/81826/,Рэндал Клайзер,США,2005,мелодрама,87.0,6.1,36286,Аманда Байнс,Крис Кармак,0,0
Самолеты,Planes,https://www.kinopoisk.ru/film/592300/,Клэй Холл,США,2013,мультфильм,91.0,6.6,36284,Дейн Кук,Стейси Кич,0,0
Иствикские ведьмы,The Witches of Eastwick,https://www.kinopoisk.ru/film/4206/,Джордж Миллер,США,1987,фэнтези,118.0,7.3,36247,Джек Николсон,Мишель Пфайффер,1,10
Макбет,Macbeth,https://www.kinopoisk.ru/film/760740/,Джастин Курзель,Великобритания,2015,драма,113.0,7.1,36245,Майкл Фассбендер,Марион Котийяр,0,3
Операция «Мясной фарш»,Operation Mincemeat,https://www.kinopoisk.ru/film/650762/,Джон Мэдден,Великобритания,2021,драма,128.0,7.1,36184,Колин Фёрт,Мэттью Макфэдиен,1,0
Меч дракона,Tian jiang xiong shi,https://www.kinopoisk.ru/film/840009/,Дэниэл Ли,Китай,2015,фэнтези,122.0,6.7,36178,Джеки Чан,Джон Кьюсак,0,0
"Всем парням, которых я любила",To All the Boys I've Loved Before,https://www.kinopoisk.ru/film/1047400/,Сьюзен Джонсон,США,2017,драма,99.0,7.0,36176,Лана Кондор,Ной Сентинео,0,0
Русалка. Озеро мертвых,,https://www.kinopoisk.ru/film/1048578/,Святослав Подгаевский,Россия,2018,ужасы,87.0,4.8,36173,Виктория Агалакова,Ефим Петрунин,0,0
Человек на Луне,Man on the Moon,https://www.kinopoisk.ru/film/4538/,Милош Форман,США,1999,драма,118.0,7.6,36159,Джим Керри,Дэнни ДеВито,3,0
Где находится нофелет?,,https://www.kinopoisk.ru/film/44476/,Геральд Бежанов,СССР,1987,мелодрама,82.0,7.3,36152,Владимир Меньшов,Александр Панкратов-Чёрный,0,0
Ржевский против Наполеона,,https://www.kinopoisk.ru/film/417854/,Марюс Вайсберг,Россия,2012,комедия,80.0,3.0,36144,Павел Деревянко,Владимир Зеленский,0,0
На игре 2. Новый уровень,,https://www.kinopoisk.ru/film/451258/,Павел Санаев,Россия,2010,боевик,86.0,5.8,36143,Сергей Чирков,Марина Петренко,0,0
Взаперти,Claustro,https://www.kinopoisk.ru/film/5367986/,Олжас Баялбаев,Казахстан,2023,ужасы,95.0,6.1,36123,Елизавета Юрьева,Роман Жуков,0,0
Любовный напиток № 9,Love Potion No. 9,https://www.kinopoisk.ru/film/6137/,Дейл Лонер,США,1992,фэнтези,92.0,6.9,36077,Тейт Донован,Сандра Буллок,0,2
Бешеный бык,Raging Bull,https://www.kinopoisk.ru/film/374/,Мартин Скорсезе,США,1980,драма,129.0,7.8,36064,Роберт Де Ниро,Кэти Мориарти,10,5
Номер 44,Child 44,https://www.kinopoisk.ru/film/736204/,Даниэль Эспиноса,Чехия,2014,триллер,131.0,5.6,36061,Том Харди,Гари Олдман,0,0
Девушка моих кошмаров,The Heartbreak Kid,https://www.kinopoisk.ru/film/81856/,Бобби Фаррелли,США,2007,мелодрама,115.0,6.2,36059,Бен Стиллер,Малин Акерман,0,0
Ограбление по-джентльменски,The Misfits,https://www.kinopoisk.ru/film/956189/,Ренни Харлин,США,2020,боевик,94.0,6.0,36055,Пирс Броснан,Тим Рот,0,0
Альфа и Омега: Клыкастая братва,Alpha and Omega,https://www.kinopoisk.ru/film/409388/,Энтони Белл,США,2010,мультфильм,85.0,6.3,36046,Джастин Лонг,Хайден Панеттьери,0,0
Гномы. Новогодний беспредел,There's Something in the Barn,https://www.kinopoisk.ru/film/5212442/,Магнус Мартенс,Норвегия,2023,комедия,100.0,6.1,36033,Мартин Старр,Амрита Ачария,0,0
Измена,,https://www.kinopoisk.ru/film/642419/,Кирилл Серебренников,Россия,2012,триллер,115.0,6.2,36012,Франциска Петри,Деян Лилич,0,0
"Анжелика, маркиза ангелов","Angélique, marquise des anges",https://www.kinopoisk.ru/film/77355/,Бернар Бордери,Франция,1964,драма,115.0,8.1,36001,Мишель Мерсье,Робер Оссейн,0,0
Наруто: Последний фильм,The Last: Naruto the Movie,https://www.kinopoisk.ru/film/841279/,Цунэо Кобаяси,Япония,2014,аниме,112.0,7.2,35991,Дзюнко Такэути,Нана Мидзуки,0,0
Просто помиловать,Just Mercy,https://www.kinopoisk.ru/film/1108556/,Дестин Дэниел Креттон,США,2019,биография,137.0,7.5,35986,Майкл Б. Джордан,Джейми Фокс,0,1
Китайский квартал,Chinatown,https://www.kinopoisk.ru/film/365/,Роман Полански,США,1974,триллер,130.0,7.7,35934,Джек Николсон,Фэй Данауэй,3,11
Фокус-покус,Hocus Pocus,https://www.kinopoisk.ru/film/11112/,Кенни Ортега,США,1993,фэнтези,96.0,7.2,35928,Бетт Мидлер,Сара Джессика Паркер,0,2
Милый друг,Bel Ami,https://www.kinopoisk.ru/film/466849/,Деклан Доннеллан,Великобритания,2012,драма,98.0,6.1,35904,Роберт Паттинсон,Ума Турман,0,0
С закрытыми окнами,,https://www.kinopoisk.ru/film/1316548/,Роман Супер,Россия,2019,биография,114.0,8.1,35885,Ярослав Головнёв,,0,0
Спасите Колю!,,https://www.kinopoisk.ru/film/1272474/,Дмитрий Губарев,Россия,2020,комедия,94.0,5.4,35881,Дмитрий Нагиев,Анна Родоная,0,0
